LOCATION,PRICE,FACING,FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,LOCATION_ENCODED
"Gwarko, Lalitpur",23500000.0,north-east,3.0,6.0,3.0,1026.75,13.0,3.0,1,1,0,0,26142857.14285714
"Gwarko, Lalitpur",29500000.0,west,3.5,4.0,4.0,1026.75,13.0,3.0,0,1,0,0,26142857.14285714
"Budhanilkantha, Kathmandu",46500000.0,east,3.5,6.0,4.0,1711.25,13.0,6.0,1,0,0,1,51359210.526315786
"Budhanilkantha, Kathmandu",31500000.0,south,3.0,6.0,6.0,1369.0,13.0,9.0,1,1,0,0,51359210.526315786
"Uttardhoka, Kathmandu",15000000.0,south,2.0,5.0,2.0,1369.0,20.0,6.0,1,1,1,0,15000000.0
"Budhanilkantha, Kathmandu",22500000.0,south-east,2.0,2.0,2.0,3080.25,13.0,10.0,1,1,0,0,51359210.526315786
"Imadol, Lalitpur",19000000.0,east,2.5,4.0,4.0,787.175,13.0,3.0,1,1,0,0,29527777.777777776
"Satdobato, Lalitpur",31000000.0,west,2.5,4.0,4.0,1129.425,13.0,27.0,1,1,0,0,43187500.0
"Bhaisepati, Lalitpur",43500000.0,east,2.5,4.0,4.0,1437.45,20.0,10.0,1,1,1,0,47632203.38983051
"Gwarko, Lalitpur",22000000.0,north,2.5,5.0,4.0,1060.9750000000001,12.0,12.0,1,1,0,0,26142857.14285714
"Imadol, Lalitpur",31000000.0,east,3.0,5.0,4.0,1369.0,13.0,10.0,1,1,0,0,29527777.777777776
"Sitapaila, Kathmandu",55000000.0,west,2.5,6.0,3.0,2053.5,20.0,9.0,1,1,1,0,31995000.0
"Gongabu, Kathmandu",60000000.0,north,5.0,10.0,6.0,2429.975,12.0,6.0,0,1,0,1,38428571.428571425
